month_day,engagement_ratio,hashtags
February-20,-4.224883307762753,#Yale
February-21,-4.136833419212886,#yale
February-22,-3.7610673682188915,"#LifeBeyondSaadiyat, #NYUAD2021, #VioletPride, #myNYUAD"
February-23,-4.507137042410349,"#Harvard, #HarvardInWinter"
February-24,-3.541583473322209,#MyNYUAD
February-25,-4.470325369051539,"#StartUpJourney, #StudentEntrepreneurship, #Entrepreneurs, #MyNYUAD, #StartUpLife, #InnovationMonth, #UAEInnovates"
February-26,-4.57827863818229,"#Harvard, #RemytheHarvardCat"
February-27,-4.555019247900808,"#StartUpJourney, #StudentEntrepreneurship, #Entrepreneurs, #MyNYUAD, #StartUpLife, #InnovationMonth, #UAEInnovates"
February-28,-4.3009689785631915,"#harvard, #rihanna"
February-29,-5.662935166884486,"#LeapDay, #LeapYear"
January-1,-3.7575023892139714,#yale
January-2,-5.018811689551578,"#Harvard, #science"
January-3,-3.7923742728439325,#mynyuad
January-4,-4.039044730446268,"#Harvard, #GingerbreadHouse"
January-5,-4.808793740607792,"#Harvard, #NewYearResolution"
January-6,-4.189496439535368,#yale
January-7,-4.304798664737142,"#Harvard, #snow, #HarvardinWinter"
January-8,-5.214263461439112,"#Yale, #coral, #coralreef, #environment, #globalwarming"
January-9,-4.350271603778496,#yale
January-10,-4.74234794855919,#Harvard
January-11,-4.65978427130239,#Yale
January-12,-3.401542607589398,#myNYUAD
January-13,-4.475703072219466,"#Yale, #yaleschoolofarchitecture, #paulrudolph"
January-14,-4.54261392081561,#HarvardinWinter
January-15,-4.279604960422894,"#OTD, #MLK, #MLKday, #MLKyale, #yale"
January-16,-4.4710405415703605,"#TBT, #Yale, #MLK, #MLKyale, #NHV, #NewHaven"
January-17,-4.727576897326495,"#Harvard, #Quidditch, #HarryPotter"
January-18,-4.001618541178735,"#NHV, #MLK, #Yale, #MLKyale"
January-19,-3.9392877572686285,"#myNYUAD, #NYUAD, #SpringSemester, #UniversityLife"
January-20,-4.132859261220466,#myNYUAD
January-21,-3.869260079094149,"#Harvard, #Inauguration2021, #Inauguration"
January-22,-4.633717269064003,#MemChu
January-23,-4.191001960060618,"#HillhouseAvenue, #NHV, #Yale"
January-24,-4.704160762268344,#HarvardInWinter
January-25,-4.64267623518445,#yale
January-26,-3.958572101434233,#myNYUAD
January-27,-3.9278450959151487,#HarvardInWinter
